"Element";"Quota";"Centrality";"Value"
"sekretarsha";"30";"SRIC_EX";"0"
"sekretarsha";"30";"Max";"0.0588536335721597"
"direktor";"30";"SRIC_EX";"0"
"direktor";"30";"Max";"0.0588536335721597"
"egorych";"30";"SRIC_EX";"0"
"egorych";"30";"Max";"0.0588536335721597"
"kurer";"30";"SRIC_EX";"0"
"kurer";"30";"Max";"0.0281473899692938"
"vaska";"30";"SRIC_EX";"0"
"vaska";"30";"Max";"0.0307062436028659"
"lukach";"30";"SRIC_EX";"0"
"lukach";"30";"Max";"0.0537359263050153"
"rabochij_1";"30";"SRIC_EX";"0"
"rabochij_1";"30";"Max";"0.0281473899692938"
"baba";"30";"SRIC_EX";"0"
"baba";"30";"Max";"0.0281473899692938"
"staruha";"30";"SRIC_EX";"0"
"staruha";"30";"Max";"0.0307062436028659"
"baby";"30";"SRIC_EX";"0"
"baby";"30";"Max";"0.0281473899692938"
"pervyj_rabochij_1";"30";"SRIC_EX";"0"
"pervyj_rabochij_1";"30";"Max";"0.0281473899692938"
"vtoroj_rabochij_1";"30";"SRIC_EX";"0"
"vtoroj_rabochij_1";"30";"Max";"0.0281473899692938"
"pervyj_komsomolec";"30";"SRIC_EX";"0"
"pervyj_komsomolec";"30";"Max";"0.0281473899692938"
"vtoroj_komsomolec";"30";"SRIC_EX";"0"
"vtoroj_komsomolec";"30";"Max";"0.0281473899692938"
"petya";"30";"SRIC_EX";"0"
"petya";"30";"Max";"0.0537359263050153"
"hor_komsomolcev";"30";"SRIC_EX";"0"
"hor_komsomolcev";"30";"Max";"0.0281473899692938"
"podrostok";"30";"SRIC_EX";"0"
"podrostok";"30";"Max";"0.0307062436028659"
"golos_iz_podpolya";"30";"SRIC_EX";"0"
"golos_iz_podpolya";"30";"Max";"0"
"pervyj_rabochij_2";"30";"SRIC_EX";"0"
"pervyj_rabochij_2";"30";"Max";"0"
"vtoroj_rabochij_2";"30";"SRIC_EX";"0"
"vtoroj_rabochij_2";"30";"Max";"0"
"tretij_rabochij";"30";"SRIC_EX";"0"
"tretij_rabochij";"30";"Max";"0"
"chetvertyj_rabochij";"30";"SRIC_EX";"0"
"chetvertyj_rabochij";"30";"Max";"0"
"pyatyj_rabochij";"30";"SRIC_EX";"0"
"pyatyj_rabochij";"30";"Max";"0"
"golosa";"30";"SRIC_EX";"0"
"golosa";"30";"Max";"0"
"inzhener";"30";"SRIC_EX";"0"
"inzhener";"30";"Max";"0.0330092118730809"
"golos_2a";"30";"SRIC_EX";"0"
"golos_2a";"30";"Max";"0"
"golos_2b";"30";"SRIC_EX";"0"
"golos_2b";"30";"Max";"0"
"dudin";"30";"SRIC_EX";"0"
"dudin";"30";"Max";"0.0330092118730809"
"zhenschiny";"30";"SRIC_EX";"0"
"zhenschiny";"30";"Max";"0"
"zhena_fomy";"30";"SRIC_EX";"0"
"zhena_fomy";"30";"Max";"0"
"zhenskij_golos";"30";"SRIC_EX";"0"
"zhenskij_golos";"30";"Max";"0"
"zhena_dudina";"30";"SRIC_EX";"0"
"zhena_dudina";"30";"Max";"0"
"foma";"30";"SRIC_EX";"0"
"foma";"30";"Max";"0"
"golos_2c";"30";"SRIC_EX";"0"
"golos_2c";"30";"Max";"0"
"golos_2d";"30";"SRIC_EX";"0"
"golos_2d";"30";"Max";"0"
"zhena_rabochego";"30";"SRIC_EX";"0"
"zhena_rabochego";"30";"Max";"0"
"rabochij_na_nosilkah";"30";"SRIC_EX";"0"
"rabochij_na_nosilkah";"30";"Max";"0"
"nosilschik";"30";"SRIC_EX";"0"
"nosilschik";"30";"Max";"0"
"za_scenoj_pesnya";"30";"SRIC_EX";"0"
"za_scenoj_pesnya";"30";"Max";"0.0304503582395087"
"golosa_komsomolcev";"30";"SRIC_EX";"0"
"golosa_komsomolcev";"30";"Max";"0.0304503582395087"
"komsomolec";"30";"SRIC_EX";"0"
"komsomolec";"30";"Max";"0.0304503582395087"
"golos_v_ton";"30";"SRIC_EX";"0"
"golos_v_ton";"30";"Max";"0.0304503582395087"
"staryj_rabochij";"30";"SRIC_EX";"0"
"staryj_rabochij";"30";"Max";"0.0304503582395087"
"rabochij_3a";"30";"SRIC_EX";"0"
"rabochij_3a";"30";"Max";"0.0304503582395087"
"rabochij_3b";"30";"SRIC_EX";"0"
