"Element";"Quota";"Centrality";"Value"
"gorskij";"30";"SRIC_EX";"0.301872151869434"
"gorskij";"30";"Max";"0.190867056880223"
"muhin";"30";"SRIC_EX";"0.17337267813409"
"muhin";"30";"Max";"0.140025783283322"
"mademoiselle_bienaime";"30";"SRIC_EX";"0.0639068895216277"
"mademoiselle_bienaime";"30";"Max";"0.0969084383865768"
"vera";"30";"SRIC_EX";"0.180113774829939"
"vera";"30";"Max";"0.145023229278842"
"gospozha_libanova";"30";"SRIC_EX";"0.104852711257307"
"gospozha_libanova";"30";"Max";"0.124675221291773"
"varvara_ivanovna";"30";"SRIC_EX";"0.0834800789843447"
"varvara_ivanovna";"30";"Max";"0.0991351764916602"
"chuhanov";"30";"SRIC_EX";"0.0741222660750101"
"chuhanov";"30";"Max";"0.0918114857230044"
"sluga";"30";"SRIC_EX";"0.00388913674841878"
"sluga";"30";"Max";"0.0256771428760965"
"stanitsyn";"30";"SRIC_EX";"0.0137309175747462"
"stanitsyn";"30";"Max";"0.0600555910585519"
"dvoretskij";"30";"SRIC_EX";"0.000659395005082837"
"dvoretskij";"30";"Max";"0.02582087472995"
"gorskij";"50";"SRIC_EX";"0.298201903434139"
"gorskij";"50";"Max";"0.209045307322497"
"muhin";"50";"SRIC_EX";"0.167884514880221"
"muhin";"50";"Max";"0.146776276016805"
"mademoiselle_bienaime";"50";"SRIC_EX";"0.0770364766772153"
"mademoiselle_bienaime";"50";"Max";"0.0911452456753973"
"vera";"50";"SRIC_EX";"0.167524409881553"
"vera";"50";"Max";"0.145352573890366"
"gospozha_libanova";"50";"SRIC_EX";"0.108452490325877"
"gospozha_libanova";"50";"Max";"0.119718152048324"
"varvara_ivanovna";"50";"SRIC_EX";"0.0845460427526512"
"varvara_ivanovna";"50";"Max";"0.100262626309546"
"chuhanov";"50";"SRIC_EX";"0.0750891263288508"
"chuhanov";"50";"Max";"0.0934717159329787"
"sluga";"50";"SRIC_EX";"0.00352992386129629"
"sluga";"50";"Max";"0.0242275422617825"
"stanitsyn";"50";"SRIC_EX";"0.0170787285303325"
"stanitsyn";"50";"Max";"0.0527262536735764"
"dvoretskij";"50";"SRIC_EX";"0.000656383327863472"
"dvoretskij";"50";"Max";"0.0172743068687272"
"gorskij";"70";"SRIC_EX";"0.298939709594647"
"gorskij";"70";"Max";"0.214657295784596"
"muhin";"70";"SRIC_EX";"0.17017267853665"
"muhin";"70";"Max";"0.149658166385494"
"mademoiselle_bienaime";"70";"SRIC_EX";"0.0853929341738725"
"mademoiselle_bienaime";"70";"Max";"0.0903985176548894"
"vera";"70";"SRIC_EX";"0.166404748434068"
"vera";"70";"Max";"0.146551028064923"
"gospozha_libanova";"70";"SRIC_EX";"0.0987329604330514"
"gospozha_libanova";"70";"Max";"0.117136039892458"
"varvara_ivanovna";"70";"SRIC_EX";"0.0896677692907032"
"varvara_ivanovna";"70";"Max";"0.100687094808151"
"chuhanov";"70";"SRIC_EX";"0.0784981603573328"
"chuhanov";"70";"Max";"0.0955657673487844"
"sluga";"70";"SRIC_EX";"0.00165289256198347"
"sluga";"70";"Max";"0.0222781475007221"
"stanitsyn";"70";"SRIC_EX";"0.00974900520355066"
"stanitsyn";"70";"Max";"0.0491407841832091"
"dvoretskij";"70";"SRIC_EX";"0.000789141414141414"
"dvoretskij";"70";"Max";"0.0139271583767736"
