"Element";"Quota";"Centrality";"Value"
"stratilat";"30";"SRIC_EX";"0.107310068928377"
"stratilat";"30";"Max";"0.102344400809235"
"moshkin";"30";"SRIC_EX";"0.177304869289433"
"moshkin";"30";"Max";"0.138045935975247"
"malanja";"30";"SRIC_EX";"0.0414717852160028"
"malanja";"30";"Max";"0.0643817684160419"
"shpundik";"30";"SRIC_EX";"0.107310068928377"
"shpundik";"30";"Max";"0.102344400809235"
"prjazhkina";"30";"SRIC_EX";"0.107310068928377"
"prjazhkina";"30";"Max";"0.102344400809235"
"masha";"30";"SRIC_EX";"0.177304869289433"
"masha";"30";"Max";"0.138045935975247"
"vilitskij";"30";"SRIC_EX";"0.103613638529148"
"vilitskij";"30";"Max";"0.0985362370581935"
"fonk";"30";"SRIC_EX";"0.103613638529148"
"fonk";"30";"Max";"0.0985362370581935"
"pochtalon";"30";"SRIC_EX";"0.0213619605291694"
"pochtalon";"30";"Max";"0.0516482208734975"
"mitka";"30";"SRIC_EX";"0.0266995159162672"
"mitka";"30";"Max";"0.0518862311079376"
"sozomenos";"30";"SRIC_EX";"0.0266995159162672"
"sozomenos";"30";"Max";"0.0518862311079376"
"stratilat";"50";"SRIC_EX";"0.112322924494169"
"stratilat";"50";"Max";"0.102903063787042"
"moshkin";"50";"SRIC_EX";"0.182343290910754"
"moshkin";"50";"Max";"0.14067302862883"
"malanja";"50";"SRIC_EX";"0.0283003360607832"
"malanja";"50";"Max";"0.0634053239578101"
"shpundik";"50";"SRIC_EX";"0.112322924494169"
"shpundik";"50";"Max";"0.102903063787042"
"prjazhkina";"50";"SRIC_EX";"0.112322924494169"
"prjazhkina";"50";"Max";"0.102903063787042"
"masha";"50";"SRIC_EX";"0.182343290910754"
"masha";"50";"Max";"0.14067302862883"
"vilitskij";"50";"SRIC_EX";"0.109776501190774"
"vilitskij";"50";"Max";"0.0998493219487695"
"fonk";"50";"SRIC_EX";"0.109776501190774"
"fonk";"50";"Max";"0.0998493219487695"
"pochtalon";"50";"SRIC_EX";"0.0145474137931034"
"pochtalon";"50";"Max";"0.0491612255148167"
"mitka";"50";"SRIC_EX";"0.0179719462302747"
"mitka";"50";"Max";"0.0488397790055249"
"sozomenos";"50";"SRIC_EX";"0.0179719462302747"
"sozomenos";"50";"Max";"0.0488397790055249"
"stratilat";"70";"SRIC_EX";"0.0666666666666667"
"stratilat";"70";"Max";"0.10363692667653"
"moshkin";"70";"SRIC_EX";"0.2"
"moshkin";"70";"Max";"0.140797577676083"
"malanja";"70";"SRIC_EX";"0"
"malanja";"70";"Max";"0.0614182981798162"
"shpundik";"70";"SRIC_EX";"0.0666666666666667"
"shpundik";"70";"Max";"0.10363692667653"
"prjazhkina";"70";"SRIC_EX";"0.0666666666666667"
"prjazhkina";"70";"Max";"0.10363692667653"
"masha";"70";"SRIC_EX";"0.2"
"masha";"70";"Max";"0.140797577676083"
"vilitskij";"70";"SRIC_EX";"0.133333333333333"
"vilitskij";"70";"Max";"0.10183050614183"
"fonk";"70";"SRIC_EX";"0.133333333333333"
"fonk";"70";"Max";"0.10183050614183"
"pochtalon";"70";"SRIC_EX";"0"
"pochtalon";"70";"Max";"0.0473282180091525"
"mitka";"70";"SRIC_EX";"0.0666666666666667"
"mitka";"70";"Max";"0.0475432680728073"
"sozomenos";"70";"SRIC_EX";"0.0666666666666667"
"sozomenos";"70";"Max";"0.0475432680728073"
