"Element";"Quota";"Centrality";"Value"
"shaaf";"30";"SRIC_EX";"0.0629971892119756"
"shaaf";"30";"Max";"0.0697701340110148"
"anna_semenovna";"30";"SRIC_EX";"0.0467266927407955"
"anna_semenovna";"30";"Max";"0.0623950617734082"
"natalja_petrovna";"30";"SRIC_EX";"0.115382550178988"
"natalja_petrovna";"30";"Max";"0.0998483238140727"
"rakitin";"30";"SRIC_EX";"0.115382550178988"
"rakitin";"30";"Max";"0.0998483238140727"
"lizaveta_bogdanovna";"30";"SRIC_EX";"0.0859936386519472"
"lizaveta_bogdanovna";"30";"Max";"0.0864226114191021"
"kolja";"30";"SRIC_EX";"0.0629971892119756"
"kolja";"30";"Max";"0.0697701340110148"
"beljaev";"30";"SRIC_EX";"0.115382550178988"
"beljaev";"30";"Max";"0.0998483238140727"
"matvej";"30";"SRIC_EX";"0.0629971892119756"
"matvej";"30";"Max";"0.0697701340110148"
"shpigelskij";"30";"SRIC_EX";"0.115382550178988"
"shpigelskij";"30";"Max";"0.0998483238140727"
"vera";"30";"SRIC_EX";"0.115382550178988"
"vera";"30";"Max";"0.0998483238140727"
"islaev";"30";"SRIC_EX";"0.0699938161840903"
"islaev";"30";"Max";"0.077506166402631"
"katja";"30";"SRIC_EX";"0.0226169648715042"
"katja";"30";"Max";"0.0407939664963348"
"bolshintsov";"30";"SRIC_EX";"0.00876456902079611"
"bolshintsov";"30";"Max";"0.0243301728051162"
"shaaf";"50";"SRIC_EX";"0"
"shaaf";"50";"Max";"0.0699257872239559"
"anna_semenovna";"50";"SRIC_EX";"0"
"anna_semenovna";"50";"Max";"0.0614926664889381"
"natalja_petrovna";"50";"SRIC_EX";"0"
"natalja_petrovna";"50";"Max";"0.100172785336395"
"rakitin";"50";"SRIC_EX";"0"
"rakitin";"50";"Max";"0.100172785336395"
"lizaveta_bogdanovna";"50";"SRIC_EX";"0"
"lizaveta_bogdanovna";"50";"Max";"0.0862536666256576"
"kolja";"50";"SRIC_EX";"0"
"kolja";"50";"Max";"0.0699257872239559"
"beljaev";"50";"SRIC_EX";"0"
"beljaev";"50";"Max";"0.100172785336395"
"matvej";"50";"SRIC_EX";"0"
"matvej";"50";"Max";"0.0699257872239559"
"shpigelskij";"50";"SRIC_EX";"0"
"shpigelskij";"50";"Max";"0.100172785336395"
"vera";"50";"SRIC_EX";"0"
"vera";"50";"Max";"0.100172785336395"
"islaev";"50";"SRIC_EX";"0"
"islaev";"50";"Max";"0.0773465453350418"
"katja";"50";"SRIC_EX";"0"
"katja";"50";"Max";"0.040256205946154"
"bolshintsov";"50";"SRIC_EX";"0"
"bolshintsov";"50";"Max";"0.0240096272503639"
"shaaf";"70";"SRIC_EX";"0"
"shaaf";"70";"Max";"0"
"anna_semenovna";"70";"SRIC_EX";"0"
"anna_semenovna";"70";"Max";"0"
"natalja_petrovna";"70";"SRIC_EX";"0"
"natalja_petrovna";"70";"Max";"0"
"rakitin";"70";"SRIC_EX";"0"
"rakitin";"70";"Max";"0"
"lizaveta_bogdanovna";"70";"SRIC_EX";"0"
"lizaveta_bogdanovna";"70";"Max";"0"
"kolja";"70";"SRIC_EX";"0"
"kolja";"70";"Max";"0"
"beljaev";"70";"SRIC_EX";"0"
"beljaev";"70";"Max";"0"
"matvej";"70";"SRIC_EX";"0"
"matvej";"70";"Max";"0"
"shpigelskij";"70";"SRIC_EX";"0"
"shpigelskij";"70";"Max";"0"
"vera";"70";"SRIC_EX";"0"
"vera";"70";"Max";"0"
"islaev";"70";"SRIC_EX";"0"
"islaev";"70";"Max";"0"
"katja";"70";"SRIC_EX";"0"
"katja";"70";"Max";"0"
"bolshintsov";"70";"SRIC_EX";"0"
"bolshintsov";"70";"Max";"0"
