"Element";"Quota";"Centrality";"Value"
"trembinskij";"30";"SRIC_EX";"0.0923407301360057"
"trembinskij";"30";"Max";"0.0825570189527787"
"petr";"30";"SRIC_EX";"0.0923407301360057"
"petr";"30";"Max";"0.0825570189527787"
"anpadist";"30";"SRIC_EX";"0.0337866857551897"
"anpadist";"30";"Max";"0.0513973658849984"
"egor";"30";"SRIC_EX";"0.0337866857551897"
"egor";"30";"Max";"0.0513973658849984"
"masha";"30";"SRIC_EX";"0.0337866857551897"
"masha";"30";"Max";"0.0513973658849984"
"kuzovkin";"30";"SRIC_EX";"0.0923407301360058"
"kuzovkin";"30";"Max";"0.0825570189527787"
"ivanov";"30";"SRIC_EX";"0.0923407301360058"
"ivanov";"30";"Max";"0.0825570189527787"
"praskovja_ivanovna";"30";"SRIC_EX";"0.0923407301360058"
"praskovja_ivanovna";"30";"Max";"0.0825570189527787"
"drugoj_golos";"30";"SRIC_EX";"0.0337866857551897"
"drugoj_golos";"30";"Max";"0.0513973658849984"
"golosa_devok";"30";"SRIC_EX";"0.0337866857551897"
"golosa_devok";"30";"Max";"0.0513973658849984"
"olga";"30";"SRIC_EX";"0.0923407301360058"
"olga";"30";"Max";"0.0825570189527787"
"eletskij";"30";"SRIC_EX";"0.0923407301360058"
"eletskij";"30";"Max";"0.0825570189527787"
"tropachev";"30";"SRIC_EX";"0.0923407301360058"
"tropachev";"30";"Max";"0.0825570189527787"
"karpachov";"30";"SRIC_EX";"0.0923407301360058"
"karpachov";"30";"Max";"0.0825570189527787"
"trembinskij";"50";"SRIC_EX";"0"
"trembinskij";"50";"Max";"0.0846560846560847"
"petr";"50";"SRIC_EX";"0"
"petr";"50";"Max";"0.0846560846560847"
"anpadist";"50";"SRIC_EX";"0"
"anpadist";"50";"Max";"0.0476190476190476"
"egor";"50";"SRIC_EX";"0"
"egor";"50";"Max";"0.0476190476190476"
"masha";"50";"SRIC_EX";"0"
"masha";"50";"Max";"0.0476190476190476"
"kuzovkin";"50";"SRIC_EX";"0"
"kuzovkin";"50";"Max";"0.0846560846560847"
"ivanov";"50";"SRIC_EX";"0"
"ivanov";"50";"Max";"0.0846560846560847"
"praskovja_ivanovna";"50";"SRIC_EX";"0"
"praskovja_ivanovna";"50";"Max";"0.0846560846560847"
"drugoj_golos";"50";"SRIC_EX";"0"
"drugoj_golos";"50";"Max";"0.0476190476190476"
"golosa_devok";"50";"SRIC_EX";"0"
"golosa_devok";"50";"Max";"0.0476190476190476"
"olga";"50";"SRIC_EX";"0"
"olga";"50";"Max";"0.0846560846560847"
"eletskij";"50";"SRIC_EX";"0"
"eletskij";"50";"Max";"0.0846560846560847"
"tropachev";"50";"SRIC_EX";"0"
"tropachev";"50";"Max";"0.0846560846560847"
"karpachov";"50";"SRIC_EX";"0"
"karpachov";"50";"Max";"0.0846560846560847"
"trembinskij";"70";"SRIC_EX";"0"
"trembinskij";"70";"Max";"0"
"petr";"70";"SRIC_EX";"0"
"petr";"70";"Max";"0"
"anpadist";"70";"SRIC_EX";"0"
"anpadist";"70";"Max";"0"
"egor";"70";"SRIC_EX";"0"
"egor";"70";"Max";"0"
"masha";"70";"SRIC_EX";"0"
"masha";"70";"Max";"0"
"kuzovkin";"70";"SRIC_EX";"0"
"kuzovkin";"70";"Max";"0"
"ivanov";"70";"SRIC_EX";"0"
"ivanov";"70";"Max";"0"
"praskovja_ivanovna";"70";"SRIC_EX";"0"
"praskovja_ivanovna";"70";"Max";"0"
"drugoj_golos";"70";"SRIC_EX";"0"
"drugoj_golos";"70";"Max";"0"
"golosa_devok";"70";"SRIC_EX";"0"
"golosa_devok";"70";"Max";"0"
"olga";"70";"SRIC_EX";"0"
"olga";"70";"Max";"0"
"eletskij";"70";"SRIC_EX";"0"
"eletskij";"70";"Max";"0"
"tropachev";"70";"SRIC_EX";"0"
"tropachev";"70";"Max";"0"
"karpachov";"70";"SRIC_EX";"0"
"karpachov";"70";"Max";"0"
