"Element";"Quota";"Centrality";"Value"
"donja_dolores";"30";"SRIC_EX";"0.252083333333333"
"donja_dolores";"30";"Max";"0.214452214452214"
"don_rafael";"30";"SRIC_EX";"0.252083333333333"
"don_rafael";"30";"Max";"0.214452214452214"
"don_baltazar";"30";"SRIC_EX";"0.10625"
"don_baltazar";"30";"Max";"0.151515151515152"
"margarita";"30";"SRIC_EX";"0.252083333333333"
"margarita";"30";"Max";"0.214452214452214"
"don_pablo";"30";"SRIC_EX";"0.125"
"don_pablo";"30";"Max";"0.13986013986014"
"sekretar";"30";"SRIC_EX";"0.0125"
"sekretar";"30";"Max";"0.0652680652680653"
"donja_dolores";"50";"SRIC_EX";"0.236503322259136"
"donja_dolores";"50";"Max";"0.204081632653061"
"don_rafael";"50";"SRIC_EX";"0.236503322259136"
"don_rafael";"50";"Max";"0.204081632653061"
"don_baltazar";"50";"SRIC_EX";"0.131852159468439"
"don_baltazar";"50";"Max";"0.163265306122449"
"margarita";"50";"SRIC_EX";"0.236503322259136"
"margarita";"50";"Max";"0.204081632653061"
"don_pablo";"50";"SRIC_EX";"0.149709302325581"
"don_pablo";"50";"Max";"0.173469387755102"
"sekretar";"50";"SRIC_EX";"0.00892857142857143"
"sekretar";"50";"Max";"0.0510204081632653"
"donja_dolores";"70";"SRIC_EX";"0.203675474254743"
"donja_dolores";"70";"Max";"0.204743083003953"
"don_rafael";"70";"SRIC_EX";"0.203675474254743"
"don_rafael";"70";"Max";"0.204743083003953"
"don_baltazar";"70";"SRIC_EX";"0.182334010840108"
"don_baltazar";"70";"Max";"0.16600790513834"
"margarita";"70";"SRIC_EX";"0.203675474254743"
"margarita";"70";"Max";"0.204743083003953"
"don_pablo";"70";"SRIC_EX";"0.19969512195122"
"don_pablo";"70";"Max";"0.177766798418972"
"sekretar";"70";"SRIC_EX";"0.00694444444444444"
"sekretar";"70";"Max";"0.04199604743083"
