"Element";"Quota";"Centrality";"Value"
"darja_ivanovna";"30";"SRIC_EX";"0.384085537365013"
"darja_ivanovna";"30";"Max";"0.205337697999378"
"misha";"30";"SRIC_EX";"0.110774991678501"
"misha";"30";"Max";"0.195395457681226"
"stupendev";"30";"SRIC_EX";"0.374610624551445"
"stupendev";"30";"Max";"0.212033492499357"
"vasilevna";"30";"SRIC_EX";"0.030393101146449"
"vasilevna";"30";"Max";"0.0802007385664236"
"lakej";"30";"SRIC_EX";"0.00207119840938617"
"lakej";"30";"Max";"0.0281223368999148"
"graf_ljubin";"30";"SRIC_EX";"0.0839542786371872"
"graf_ljubin";"30";"Max";"0.197221583453948"
"apollon";"30";"SRIC_EX";"0.0141102682120189"
"apollon";"30";"Max";"0.0816886928997525"
"darja_ivanovna";"50";"SRIC_EX";"0.373949894629845"
"darja_ivanovna";"50";"Max";"0.264339490736345"
"misha";"50";"SRIC_EX";"0.155529202569462"
"misha";"50";"Max";"0.170934965249301"
"stupendev";"50";"SRIC_EX";"0.257637159560766"
"stupendev";"50";"Max";"0.239248733531731"
"vasilevna";"50";"SRIC_EX";"0.0254551351788837"
"vasilevna";"50";"Max";"0.0728271527254712"
"lakej";"50";"SRIC_EX";"0.00269959686809513"
"lakej";"50";"Max";"0.024001523156555"
"graf_ljubin";"50";"SRIC_EX";"0.161258355150815"
"graf_ljubin";"50";"Max";"0.165289544878263"
"apollon";"50";"SRIC_EX";"0.0234706560421327"
"apollon";"50";"Max";"0.0633585897223339"
"darja_ivanovna";"70";"SRIC_EX";"0.312841498535917"
"darja_ivanovna";"70";"Max";"0.278849860657765"
"misha";"70";"SRIC_EX";"0.159598660095017"
"misha";"70";"Max";"0.166256500550948"
"stupendev";"70";"SRIC_EX";"0.33333911695551"
"stupendev";"70";"Max";"0.248357705076295"
"vasilevna";"70";"SRIC_EX";"0.039712454872873"
"vasilevna";"70";"Max";"0.0710099585848813"
"lakej";"70";"SRIC_EX";"0.00440913558046169"
"lakej";"70";"Max";"0.0227010266158868"
"graf_ljubin";"70";"SRIC_EX";"0.128774795344839"
"graf_ljubin";"70";"Max";"0.154656049645479"
"apollon";"70";"SRIC_EX";"0.0213243386153816"
"apollon";"70";"Max";"0.0581688988687442"
