"Element";"Quota";"Centrality";"Value"
"mihrjutkin";"30";"SRIC_EX";"0.333333333333333"
"mihrjutkin";"30";"Max";"0.333333333333333"
"efrem";"30";"SRIC_EX";"0.333333333333333"
"efrem";"30";"Max";"0.333333333333333"
"seliverst";"30";"SRIC_EX";"0.333333333333333"
"seliverst";"30";"Max";"0.333333333333333"
"mihrjutkin";"50";"SRIC_EX";"0.333333333333333"
"mihrjutkin";"50";"Max";"0.333333333333333"
"efrem";"50";"SRIC_EX";"0.333333333333333"
"efrem";"50";"Max";"0.333333333333333"
"seliverst";"50";"SRIC_EX";"0.333333333333333"
"seliverst";"50";"Max";"0.333333333333333"
"mihrjutkin";"70";"SRIC_EX";"0.333333333333333"
"mihrjutkin";"70";"Max";"0.333333333333333"
"efrem";"70";"SRIC_EX";"0.333333333333333"
"efrem";"70";"Max";"0.333333333333333"
"seliverst";"70";"SRIC_EX";"0.333333333333333"
"seliverst";"70";"Max";"0.333333333333333"
