"Element";"Quota";"Centrality";"Value"
"Avakov";"30";"SRIC_EX";"0.227536352536353"
"Avakov";"30";"Max";"0.192419825072886"
"Sluga";"30";"SRIC_EX";"0.00416666666666667"
"Sluga";"30";"Max";"0.0626822157434402"
"MrPopelin";"30";"SRIC_EX";"0.00416666666666667"
"MrPopelin";"30";"Max";"0.0626822157434402"
"NadezhdaPavlovna";"30";"SRIC_EX";"0.29485236985237"
"NadezhdaPavlovna";"30";"Max";"0.198250728862974"
"MarijaPetrovna";"30";"SRIC_EX";"0.176010101010101"
"MarijaPetrovna";"30";"Max";"0.204081632653061"
"Belskij";"30";"SRIC_EX";"0.276465201465201"
"Belskij";"30";"Max";"0.198250728862974"
"GolosPevtsa";"30";"SRIC_EX";"0.0168026418026418"
"GolosPevtsa";"30";"Max";"0.0816326530612245"
"Avakov";"50";"SRIC_EX";"0.285810246796011"
"Avakov";"50";"Max";"0.223900488671701"
"Sluga";"50";"SRIC_EX";"0.00446428571428571"
"Sluga";"50";"Max";"0.0531827124452624"
"MrPopelin";"50";"SRIC_EX";"0.00446428571428571"
"MrPopelin";"50";"Max";"0.0531827124452624"
"NadezhdaPavlovna";"50";"SRIC_EX";"0.290720589236571"
"NadezhdaPavlovna";"50";"Max";"0.212794313638383"
"MarijaPetrovna";"50";"SRIC_EX";"0.184837402974658"
"MarijaPetrovna";"50";"Max";"0.190391571999746"
"Belskij";"50";"SRIC_EX";"0.210077711034601"
"Belskij";"50";"Max";"0.206574855619725"
"GolosPevtsa";"50";"SRIC_EX";"0.0196254785295881"
"GolosPevtsa";"50";"Max";"0.05997334517992"
"Avakov";"70";"SRIC_EX";"0.253927236540226"
"Avakov";"70";"Max";"0.226991745056633"
"Sluga";"70";"SRIC_EX";"0.0048661800486618"
"Sluga";"70";"Max";"0.047187559992321"
"MrPopelin";"70";"SRIC_EX";"0.0048661800486618"
"MrPopelin";"70";"Max";"0.047187559992321"
"NadezhdaPavlovna";"70";"SRIC_EX";"0.263318643581803"
"NadezhdaPavlovna";"70";"Max";"0.231944711076982"
"MarijaPetrovna";"70";"SRIC_EX";"0.231082752946987"
"MarijaPetrovna";"70";"Max";"0.192973699366481"
"Belskij";"70";"SRIC_EX";"0.219808557284292"
"Belskij";"70";"Max";"0.197811480130543"
"GolosPevtsa";"70";"SRIC_EX";"0.0221304495493677"
"GolosPevtsa";"70";"Max";"0.0559032443847188"
