"Element";"Quota";"Centrality";"Value"
"mirvolin";"30";"SRIC_EX";"0.182939524272437"
"mirvolin";"30";"Max";"0.146342669677814"
"gerasim";"30";"SRIC_EX";"0.067063944024665"
"gerasim";"30";"Max";"0.0867428716754438"
"balagalaev";"30";"SRIC_EX";"0.186901797439454"
"balagalaev";"30";"Max";"0.151028420327022"
"velvitskij";"30";"SRIC_EX";"0.0391495897046198"
"velvitskij";"30";"Max";"0.0611958481065011"
"alupkin";"30";"SRIC_EX";"0.1522145836409"
"alupkin";"30";"Max";"0.133240266692298"
"suslov";"30";"SRIC_EX";"0.138838081276288"
"suslov";"30";"Max";"0.124045568017247"
"kaurova";"30";"SRIC_EX";"0.123370357260891"
"kaurova";"30";"Max";"0.114201174989077"
"karp";"30";"SRIC_EX";"0.00283544175346002"
"karp";"30";"Max";"0.0209151696117384"
"bespandin";"30";"SRIC_EX";"0.0732143379224095"
"bespandin";"30";"Max";"0.0875939923802239"
"pehterev";"30";"SRIC_EX";"0.023600946290567"
"pehterev";"30";"Max";"0.0477343786264121"
"naglanovich";"30";"SRIC_EX";"0.00987139641430832"
"naglanovich";"30";"Max";"0.0269596398962229"
"mirvolin";"50";"SRIC_EX";"0.192378904189463"
"mirvolin";"50";"Max";"0.14762485998626"
"gerasim";"50";"SRIC_EX";"0.0636847270178766"
"gerasim";"50";"Max";"0.0857009004717866"
"balagalaev";"50";"SRIC_EX";"0.198989589042608"
"balagalaev";"50";"Max";"0.151521598441024"
"velvitskij";"50";"SRIC_EX";"0.0344257114137951"
"velvitskij";"50";"Max";"0.0619305705224556"
"alupkin";"50";"SRIC_EX";"0.162344840697604"
"alupkin";"50";"Max";"0.133491040997748"
"suslov";"50";"SRIC_EX";"0.141332818835447"
"suslov";"50";"Max";"0.125685929498087"
"kaurova";"50";"SRIC_EX";"0.120774445607356"
"kaurova";"50";"Max";"0.115495811944953"
"karp";"50";"SRIC_EX";"0.00204660163070594"
"karp";"50";"Max";"0.0191008025506637"
"bespandin";"50";"SRIC_EX";"0.0628682678520459"
"bespandin";"50";"Max";"0.0879649369830701"
"pehterev";"50";"SRIC_EX";"0.016398596853908"
"pehterev";"50";"Max";"0.047029542170448"
"naglanovich";"50";"SRIC_EX";"0.00475549685919072"
"naglanovich";"50";"Max";"0.0244540064335044"
"mirvolin";"70";"SRIC_EX";"0.2"
"mirvolin";"70";"Max";"0.148337720687275"
"gerasim";"70";"SRIC_EX";"0.2"
"gerasim";"70";"Max";"0.0856743588302134"
"balagalaev";"70";"SRIC_EX";"0.2"
"balagalaev";"70";"Max";"0.150870673240576"
"velvitskij";"70";"SRIC_EX";"0"
"velvitskij";"70";"Max";"0.0617111134590843"
"alupkin";"70";"SRIC_EX";"0"
"alupkin";"70";"Max";"0.132904733962366"
"suslov";"70";"SRIC_EX";"0.2"
"suslov";"70";"Max";"0.125769463246024"
"kaurova";"70";"SRIC_EX";"0.2"
"kaurova";"70";"Max";"0.116100579492132"
"karp";"70";"SRIC_EX";"0"
"karp";"70";"Max";"0.0180945617223439"
"bespandin";"70";"SRIC_EX";"0"
"bespandin";"70";"Max";"0.0874172005170755"
"pehterev";"70";"SRIC_EX";"0"
"pehterev";"70";"Max";"0.0465704310764017"
"naglanovich";"70";"SRIC_EX";"0"
"naglanovich";"70";"Max";"0.0265491637665073"
